Date, Open, High, Low, Close
2/25/2010,1101.24,1103.5,1086.02,1102.94
2/24/2010,1095.89,1106.42,1095.5,1105.24
2/23/2010,1107.49,1108.58,1092.18,1094.6
2/22/2010,1110,1112.29,1105.38,1108.01
2/19/2010,1105.49,1112.42,1100.8,1109.17
2/18/2010,1099.03,1108.24,1097.48,1106.75
2/17/2010,1096.14,1101.03,1094.72,1099.51
2/16/2010,1079.13,1095.67,1079.13,1094.87
2/12/2010,1075.95,1077.81,1062.97,1075.51
2/11/2010,1067.1,1080.04,1060.59,1078.47
2/10/2010,1069.68,1073.67,1059.34,1068.13
2/9/2010,1060.06,1079.28,1060.06,1070.52
2/8/2010,1065.51,1071.2,1056.51,1056.74
2/5/2010,1064.12,1067.13,1044.5,1066.19
2/4/2010,1097.25,1097.25,1062.78,1063.11
2/3/2010,1100.67,1102.72,1093.97,1097.28
2/2/2010,1090.05,1104.73,1087.96,1103.32
2/1/2010,1073.89,1089.38,1073.89,1089.19
1/29/2010,1087.61,1096.45,1071.59,1073.87
1/28/2010,1096.93,1100.22,1078.46,1084.53
1/27/2010,1091.54,1099.51,1083.11,1097.5
1/26/2010,1095.8,1103.69,1089.86,1092.17
1/25/2010,1092.4,1102.97,1092.4,1096.78
1/22/2010,1115.49,1115.49,1090.18,1091.76
1/21/2010,1138.68,1141.58,1114.84,1116.48
1/20/2010,1138.34,1147.95,1129.05,1138.04
1/19/2010,1136.03,1150.45,1135.77,1150.23
1/15/2010,1147.72,1147.77,1131.39,1136.03
1/14/2010,1145.68,1150.41,1143.8,1148.46
1/13/2010,1137.31,1148.4,1133.18,1145.68
1/12/2010,1143.81,1143.81,1131.77,1136.22
1/11/2010,1145.96,1149.74,1142.02,1146.98
1/8/2010,1140.52,1145.39,1136.22,1144.98
1/7/2010,1136.27,1142.46,1131.32,1141.69
1/6/2010,1135.71,1139.19,1133.95,1137.14
1/5/2010,1132.66,1136.63,1129.66,1136.52
1/4/2010,1116.56,1133.87,1116.56,1132.99
12/31/2009,1126.6,1127.64,1114.81,1115.1
12/30/2009,1125.53,1126.42,1121.94,1126.42
12/29/2009,1128.55,1130.38,1126.08,1126.2
12/28/2009,1127.53,1130.38,1123.51,1127.78
12/24/2009,1121.08,1126.48,1121.08,1126.48
12/23/2009,1118.84,1121.58,1116,1120.59
12/22/2009,1114.51,1120.27,1114.51,1118.02
12/21/2009,1105.31,1117.68,1105.31,1114.05
12/18/2009,1097.86,1103.74,1093.88,1102.47
12/17/2009,1106.36,1106.36,1095.88,1096.08
12/16/2009,1108.61,1116.21,1107.96,1109.18
12/15/2009,1114.11,1114.11,1105.35,1107.93
12/14/2009,1107.84,1114.76,1107.84,1114.11
12/11/2009,1103.96,1108.5,1101.34,1106.41
12/10/2009,1098.69,1106.25,1098.69,1102.35
12/9/2009,1091.07,1097.04,1085.89,1095.95
12/8/2009,1103.04,1103.04,1088.61,1091.94
12/7/2009,1105.52,1110.72,1100.83,1103.25
12/4/2009,1100.43,1119.13,1096.52,1105.98
12/3/2009,1110.59,1117.28,1098.74,1099.92
12/2/2009,1109.03,1115.58,1105.29,1109.24
12/1/2009,1098.89,1112.28,1098.89,1108.86
11/30/2009,1091.07,1097.24,1086.25,1095.63
11/27/2009,1105.47,1105.47,1083.74,1091.49
11/25/2009,1106.49,1111.18,1104.75,1110.63
11/24/2009,1105.83,1107.56,1097.63,1105.65
11/23/2009,1094.86,1112.38,1094.86,1106.24
11/20/2009,1094.66,1094.66,1086.81,1091.38
11/19/2009,1106.44,1106.44,1088.4,1094.9
11/18/2009,1109.44,1111.1,1102.7,1109.8
11/17/2009,1109.22,1110.52,1102.19,1110.32
11/16/2009,1094.13,1113.69,1094.13,1109.3
11/13/2009,1087.59,1097.79,1085.33,1093.48
11/12/2009,1098.31,1107.97,1084.9,1087.24
11/11/2009,1096.04,1105.37,1093.81,1098.51
11/10/2009,1091.86,1096.42,1087.4,1093.01
11/9/2009,1076.84,1093.19,1072.31,1093.08
11/6/2009,1060.29,1071.48,1059.32,1069.3
11/5/2009,1054.5,1066.65,1047.3,1066.63
11/4/2009,1053.74,1061,1045.15,1046.5
11/3/2009,1036.1,1046.36,1033.94,1045.41
11/2/2009,1040.8,1052.18,1029.38,1042.88
10/30/2009,1061.28,1065.41,1033.38,1036.19
10/29/2009,1050.78,1066.83,1043.69,1066.11
10/28/2009,1059.42,1063.26,1042.19,1042.63
10/27/2009,1069.21,1072.48,1060.62,1063.41
10/26/2009,1080.95,1091.75,1065.23,1066.95
10/23/2009,1095.68,1095.83,1075.49,1079.6
10/22/2009,1080.77,1095.21,1074.31,1092.91
