Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,
BRB,316,Barbados,Rate,GDP deflator Index growth rate,7.8,12.4,7.0,16.9,31.3,27.3,4.7,0.8,6.7,12.4,23.0,12.2,9.9,5.6,5.2,3.5,4.5,7.3,2.8,6.8,3.7,4.5,2.1,5.2,2.2,1.0,2.6,0.9,8.7,4.4,-1.3,2.3,0.9,1.1,5.8,6.7,4.5,8.4,1.7,-1.7,3.8,3.5,-0.6,2.9,0.5,-2.0,0.0,2.6,2.8,2.5,1.7,3.9,3.4,4.8,,,,,,,,,,,,,,,,,,,,,,,,
BRN,516,Brunei Darussalam,Rate,GDP deflator Index growth rate,,,,,,5.5,5.6,8.4,-2.2,12.7,86.1,9.0,-4.8,-11.4,-1.3,-2.5,-31.9,10.7,-7.7,8.7,8.4,-2.8,1.7,-3.0,-8.8,2.9,4.5,8.6,-11.6,11.6,29.0,-5.6,0.4,6.1,15.9,18.8,10.0,1.1,12.7,-22.1,16.7,20.2,1.2,-2.8,-1.8,-17.6,-9.2,5.0,9.2,-3.3,-10.8,15.5,24.4,-12.3,,,,,,,,,,,,,,,,,,,,,,,,
BTN,514,Bhutan,Rate,GDP deflator Index growth rate,5.7,4.5,6.0,13.0,17.1,0.0,0.0,0.0,-15.9,6.0,12.5,4.6,6.2,7.3,8.2,8.0,6.7,3.5,6.9,9.6,6.4,7.2,9.3,8.7,12.1,10.3,8.3,10.6,11.2,8.7,4.2,3.6,5.1,3.8,3.4,4.9,6.8,4.0,3.2,5.1,5.4,7.2,8.8,7.4,6.5,5.2,4.1,4.7,3.3,1.4,4.1,4.7,6.2,4.5,,,,,,,,,,,,,,,,,,,,,,,,
BWA,616,Botswana,Rate,GDP deflator Index growth rate,6.0,4.7,10.8,9.9,12.8,16.5,11.3,4.9,12.5,21.9,10.2,-3.5,10.3,7.7,22.3,23.2,7.1,17.0,26.1,6.1,-0.9,6.4,10.0,10.8,14.3,7.2,16.1,5.3,9.7,14.2,14.2,8.3,1.2,3.3,10.1,15.5,7.5,4.9,4.7,6.5,8.9,14.0,0.2,2.3,11.9,1.9,12.0,2.6,1.2,0.6,0.7,2.5,12.7,2.3,,,,,,,,,,,,,,,,,,,,,,,,
CAF,626,Central African Republic,Rate,GDP deflator Index growth rate,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,9.1,16.5,-7.9,14.7,14.3,12.4,-0.1,31.4,-5.2,-6.2,3.2,2.1,-0.8,-1.4,0.3,-1.9,14.9,14.6,-1.7,5.2,3.7,2.4,0.0,4.3,1.8,3.2,0.3,4.6,3.0,0.6,5.5,3.9,4.2,4.0,6.2,2.5,11.9,2.7,3.0,6.4,1.3,2.4,2.0,3.3,3.3,3.4,,,,,,,,,,,,,,,,,,,,,,,,
CAN,156,Canada,Rate,GDP deflator Index growth rate,4.7,5.0,5.8,9.6,15.2,10.8,9.3,6.8,6.8,10.0,9.9,10.3,8.8,5.8,3.5,3.3,3.1,4.8,4.5,4.7,3.4,3.1,1.5,1.3,1.5,2.3,1.7,1.1,-0.2,1.9,4.3,1.7,1.2,3.3,3.3,3.1,2.6,3.3,4.0,-2.3,2.8,3.2,1.2,1.7,1.9,-0.9,0.8,2.6,1.8,1.7,0.8,8.1,7.4,1.1,,,,,,,,,,,,,,,,,,,,,,,,
CHE,146,Switzerland,Rate,GDP deflator Index growth rate,,9.2,9.8,8.1,6.9,7.1,2.7,0.3,3.6,2.0,2.7,5.6,7.3,2.5,3.8,2.3,3.0,2.1,2.8,3.5,4.6,5.3,2.1,2.3,1.2,0.8,0.3,-0.5,-0.2,0.0,1.4,1.0,-0.3,1.2,0.3,1.0,2.2,2.4,1.5,0.4,0.3,0.0,0.0,0.0,-0.6,-1.2,-0.6,-0.4,0.7,-0.1,-0.6,1.1,3.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,
CHL,228,Chile,Rate,GDP deflator Index growth rate,40.6,18.4,86.9,417.9,694.4,342.5,250.7,103.6,59.0,48.6,25.0,11.5,12.7,29.3,14.8,37.4,22.1,25.8,22.7,13.5,22.5,22.4,13.8,11.8,14.2,11.8,3.1,3.0,1.0,2.2,4.3,3.9,3.4,4.6,7.9,7.7,12.2,5.3,-0.2,4.6,9.0,3.1,1.1,2.0,5.9,5.0,4.4,4.8,2.3,1.9,8.3,7.6,6.2,7.4,,,,,,,,,,,,,,,,,,,,,,,,
CHN,924,China,Rate,GDP deflator Index growth rate,0.0,0.8,-0.8,-4.2,-1.4,0.6,0.9,0.7,5.7,4.9,3.2,3.1,0.4,1.1,4.9,10.1,4.8,5.1,12.1,8.8,5.8,7.0,8.0,15.0,20.4,13.6,6.6,1.7,-1.0,-1.6,2.1,2.1,0.8,2.6,6.8,4.5,3.8,8.0,7.2,0.0,6.0,8.3,3.2,2.7,0.9,0.0,0.9,3.9,3.5,2.2,0.3,4.4,2.3,-0.6,,,,,,,,,,,,,,,,,,,,,,,,
CIV,662,Côte d'Ivoire,Rate,GDP deflator Index growth rate,9.4,-1.5,0.3,11.1,17.4,11.4,12.1,27.4,5.4,6.9,8.6,3.0,8.3,7.3,16.7,1.2,-1.6,-4.1,-1.0,-0.4,-4.5,0.7,0.0,6.1,47.3,12.7,4.6,4.2,3.6,0.8,2.2,7.4,6.7,4.8,-2.9,1.3,1.7,2.9,8.5,2.3,5.4,3.3,1.9,3.3,3.9,3.1,-2.1,-1.8,0.6,0.2,0.6,2.8,2.7,1.9,,,,,,,,,,,,,,,,,,,,,,,,
CMR,622,Cameroon,Rate,GDP deflator Index growth rate,5.8,4.0,8.1,10.4,17.2,13.6,9.9,14.7,14.0,13.3,13.0,8.8,12.4,12.8,13.6,11.1,0.2,-2.4,0.9,-1.9,1.7,3.5,-1.3,2.0,14.4,9.5,2.8,3.5,3.8,2.3,5.2,1.5,1.8,0.2,2.0,0.7,3.4,1.0,6.6,1.6,1.9,2.7,2.7,2.0,2.1,0.2,1.1,1.5,1.6,2.0,1.3,3.4,3.3,2.0,,,,,,,,,,,,,,,,,,,,,,,,
COD,636,"Congo, Dem. Rep.",Rate,GDP deflator Index growth rate,8.0,5.8,15.8,15.7,27.4,29.0,80.7,69.0,51.7,102.0,50.0,35.0,43.6,78.1,77.6,25.8,28.4,73.8,91.6,110.3,109.0,2202.9,4070.3,1664.2,27354.8,456.3,644.9,192.2,33.2,439.3,524.0,73.1,31.7,13.4,6.4,29.9,13.3,20.3,20.5,32.7,20.8,13.8,5.9,2.8,1.0,-1.2,4.3,43.1,29.8,2.9,13.4,15.0,17.4,17.1,,,,,,,,,,,,,,,,,,,,,,,,
COG,634,"Congo, Rep.",Rate,GDP deflator Index growth rate,1.5,4.1,9.8,3.4,5.5,17.4,7.2,10.7,3.6,15.2,25.9,2.8,3.0,3.0,3.0,3.0,3.0,3.0,-13.5,-6.7,-0.8,4.5,-2.7,-3.3,36.9,2.7,14.5,4.2,-19.1,27.8,41.9,-9.3,3.2,-3.9,20.3,19.3,11.4,6.7,16.3,-21.2,29.4,11.0,11.4,-1.1,-6.6,-17.6,-4.1,12.1,23.2,-0.6,-13.2,25.6,9.7,-3.2,,,,,,,,,,,,,,,,,,,,,,,,
COL,233,Colombia,Rate,GDP deflator Index growth rate,,9.0,13.4,20.7,24.3,22.9,20.2,33.0,16.7,24.1,27.7,22.9,24.7,20.4,22.2,24.8,29.2,23.4,27.7,24.7,28.2,26.1,23.0,23.9,25.6,18.9,16.9,16.8,14.8,12.6,11.2,6.5,6.0,6.8,7.3,5.6,5.8,5.2,7.7,4.1,3.8,6.4,3.6,1.9,2.2,2.4,5.1,5.1,4.6,4.0,1.4,6.5,12.4,7.1,,,,,,,,,,,,,,,,,,,,,,,,
COM,632,Comoros,Rate,GDP deflator Index growth rate,4.3,5.6,5.5,10.0,18.4,29.7,9.6,9.4,15.6,15.0,10.7,6.7,10.3,9.2,6.1,1.6,1.6,3.2,1.4,5.6,-2.8,10.2,-4.8,2.3,12.7,6.2,2.9,1.0,1.4,3.9,6.4,7.4,3.8,4.9,0.4,-0.4,6.0,5.0,3.1,1.0,1.7,3.0,4.3,1.8,0.8,-0.7,1.6,0.1,1.0,4.6,1.2,0.1,-0.3,2.9,,,,,,,,,,,,,,,,,,,,,,,,
CPV,624,Cabo Verde,Rate,GDP deflator Index growth rate,8.1,-14.2,-4.3,-15.0,184.1,75.0,-14.5,-85.6,-44.2,18.1,222.7,9.6,17.4,10.6,8.8,3.7,17.7,7.3,5.4,3.5,2.4,4.8,3.2,11.1,7.1,4.6,3.8,2.4,3.4,7.0,-2.6,1.3,-0.3,1.8,-0.6,0.6,3.0,2.7,3.5,2.2,0.5,2.7,0.6,1.4,-0.1,1.7,-0.2,0.7,1.5,0.6,0.9,2.3,1.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,
CRI,238,Costa Rica,Rate,GDP deflator Index growth rate,7.3,2.4,6.4,14.8,23.2,24.5,16.6,16.9,7.9,9.1,18.8,41.0,84.3,28.9,16.7,20.5,18.0,10.2,18.8,15.2,18.5,64.0,19.7,10.4,15.7,21.2,15.1,14.7,11.9,11.0,9.4,9.7,9.8,10.6,13.4,13.0,13.0,10.5,11.4,9.7,6.6,4.6,4.7,4.6,6.2,4.0,2.0,2.9,2.6,2.2,0.5,2.0,5.5,-0.1,,,,,,,,,,,,,,,,,,,,,,,,
