Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Inflation Rate,2008-04-30T00:00:00,3.9,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2008-05-31T00:00:00,4.2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2008-06-30T00:00:00,5,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2008-07-31T00:00:00,5.6,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2008-08-31T00:00:00,5.4,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2008-09-30T00:00:00,4.9,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2008-10-31T00:00:00,3.7,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2008-11-30T00:00:00,1.1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2008-12-31T00:00:00,0.1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2009-01-31T00:00:00,0,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2009-02-28T00:00:00,0.2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2009-03-31T00:00:00,-0.4,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2009-04-30T00:00:00,-0.7,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2009-05-31T00:00:00,-1.3,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2009-06-30T00:00:00,-1.4,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2009-07-31T00:00:00,-2.1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2009-08-31T00:00:00,-1.5,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2009-09-30T00:00:00,-1.3,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2009-10-31T00:00:00,-0.2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2009-11-30T00:00:00,1.8,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2009-12-31T00:00:00,2.7,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2010-01-31T00:00:00,2.6,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2010-02-28T00:00:00,2.1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2010-03-31T00:00:00,2.3,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2010-04-30T00:00:00,2.2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2010-05-31T00:00:00,2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2010-06-30T00:00:00,1.1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2010-07-31T00:00:00,1.2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2010-08-31T00:00:00,1.1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2010-09-30T00:00:00,1.1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2010-10-31T00:00:00,1.2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2010-11-30T00:00:00,1.1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2010-12-31T00:00:00,1.5,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2011-01-31T00:00:00,1.6,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2011-02-28T00:00:00,2.1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2011-03-31T00:00:00,2.7,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2011-04-30T00:00:00,3.2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2011-05-31T00:00:00,3.6,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2011-06-30T00:00:00,3.6,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2011-07-31T00:00:00,3.6,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2011-08-31T00:00:00,3.8,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2011-09-30T00:00:00,3.9,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2011-10-31T00:00:00,3.5,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2011-11-30T00:00:00,3.4,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2011-12-31T00:00:00,3,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2012-01-31T00:00:00,2.9,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2012-02-29T00:00:00,2.9,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2012-03-31T00:00:00,2.7,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2012-04-30T00:00:00,2.3,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2012-05-31T00:00:00,1.7,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2012-06-30T00:00:00,1.7,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2012-07-31T00:00:00,1.4,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2012-08-31T00:00:00,1.7,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2012-09-30T00:00:00,2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2012-10-31T00:00:00,2.2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2012-11-30T00:00:00,1.8,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2012-12-31T00:00:00,1.7,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2013-01-31T00:00:00,1.6,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2013-02-28T00:00:00,2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2013-03-31T00:00:00,1.5,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2013-04-30T00:00:00,1.1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2013-05-31T00:00:00,1.4,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2013-06-30T00:00:00,1.8,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2013-07-31T00:00:00,2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2013-08-31T00:00:00,1.5,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2013-09-30T00:00:00,1.2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2013-10-31T00:00:00,1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2013-11-30T00:00:00,1.2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2013-12-31T00:00:00,1.5,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2014-01-31T00:00:00,1.6,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2014-02-28T00:00:00,1.1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2014-03-31T00:00:00,1.5,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2014-04-30T00:00:00,2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2014-05-31T00:00:00,2.1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2014-06-30T00:00:00,2.1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2014-07-31T00:00:00,2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2014-08-31T00:00:00,1.7,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2014-09-30T00:00:00,1.7,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2014-10-31T00:00:00,1.7,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2014-11-30T00:00:00,1.3,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2014-12-31T00:00:00,0.8,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2015-01-31T00:00:00,-0.1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2015-02-28T00:00:00,0,Monthly,CPI YOY,2015-03-24T12:31:00
United States,Inflation Rate,2015-03-31T00:00:00,-0.1,Monthly,CPI YOY,2015-04-17T13:31:00
United States,Inflation Rate,2015-04-30T00:00:00,-0.2,Monthly,CPI YOY,2015-05-22T13:31:00
United States,Inflation Rate,2015-05-31T00:00:00,0,Monthly,CPI YOY,2015-06-18T13:30:00
United States,Inflation Rate,2015-06-30T00:00:00,0.1,Monthly,CPI YOY,2015-07-17T13:30:00
United States,Inflation Rate,2015-07-31T00:00:00,0.2,Monthly,CPI YOY,2015-08-19T13:30:00
United States,Inflation Rate,2015-08-31T00:00:00,0.2,Monthly,CPI YOY,2015-09-16T13:30:00
United States,Inflation Rate,2015-09-30T00:00:00,0,Monthly,CPI YOY,2015-10-15T13:30:00
United States,Inflation Rate,2015-10-31T00:00:00,0.2,Monthly,CPI YOY,2015-11-17T13:30:00
United States,Inflation Rate,2015-11-30T00:00:00,0.5,Monthly,CPI YOY,2015-12-15T13:30:00
United States,Inflation Rate,2015-12-31T00:00:00,0.7,Monthly,CPI YOY,2016-01-20T13:30:00
United States,Inflation Rate,2016-01-31T00:00:00,1.4,Monthly,CPI YOY,2016-02-19T13:30:00
United States,Inflation Rate,2016-02-29T00:00:00,1,Monthly,CPI YOY,2016-03-16T12:30:00
United States,Inflation Rate,2016-03-31T00:00:00,0.9,Monthly,CPI YOY,2016-04-14T13:30:00
United States,Inflation Rate,2016-04-30T00:00:00,1.1,Monthly,CPI YOY,2016-05-17T13:30:00
United States,Inflation Rate,2016-05-31T00:00:00,1,Monthly,CPI YOY,2016-06-16T13:30:00
United States,Inflation Rate,2016-06-30T00:00:00,1,Monthly,CPI YOY,2016-07-15T13:30:00
United States,Inflation Rate,2016-07-31T00:00:00,0.8,Monthly,CPI YOY,2016-08-16T13:30:00
United States,Inflation Rate,2016-08-31T00:00:00,1.1,Monthly,CPI YOY,2016-09-16T12:30:00
United States,Inflation Rate,2016-09-30T00:00:00,1.5,Monthly,CPI YOY,2016-10-18T12:30:00
United States,Inflation Rate,2016-10-31T00:00:00,1.6,Monthly,CPI YOY,2016-11-17T13:30:00
United States,Inflation Rate,2016-11-30T00:00:00,1.7,Monthly,CPI YOY,2016-12-15T13:30:00
United States,Inflation Rate,2016-12-31T00:00:00,2.1,Monthly,CPI YOY,2017-01-18T13:30:00
United States,Inflation Rate,2017-01-31T00:00:00,2.5,Monthly,CPI YOY,2017-02-15T13:30:00
United States,Inflation Rate,2017-02-28T00:00:00,2.7,Monthly,CPI YOY,2017-03-15T12:29:00
